Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingDurationMinutes,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod,Comments,LastEditTimestamp
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-359-A","MATH",359,A,300,4,0,29,32,32,32,"0","NH 251","TH","6:00PM - 8:30PM",9/1/21,12/16/21,Full,"NH","251","6:00 PM","18:00:00","150","8:30 PM","20:30:00","","","","TH","","Sem: Sec Teaching of Math","Dr. David B. Klanderman","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-361-A","MATH",361,A,300,4,4,19,19,25,0,"0","NH 261","MTWF","12:30PM - 1:20PM",9/1/21,12/16/21,Full,"NH","261","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","T","W","","F","Real Analysis I","John Ferdinands","Active","LEC","3/3: room change to make room for change in 221/222 schedule",""
"Mathematics and Statistics",22/SP,,2021,"MATH-391-A","MATH",391,A,300,0,1,10,10,47,0,"44","NH 276","TH","3:40PM - 4:30PM",,,A,"NH","276","3:40 PM","15:40:00","50","4:30 PM","16:30:00","","","","TH","","Colloquium","Dr. David B. Klanderman","Active","SEM","",""
"Mathematics and Statistics",21/FA,,2021,"MATH-391-A","MATH",391,A,300,0,1,18,0,47,0,"44","NH 276","TH","3:40PM - 4:30PM",,,A,"NH","276","3:40 PM","15:40:00","50","4:30 PM","16:30:00","","","","TH","","Colloquium","Christopher Moseley","Active","SEM","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-143-A","STAT",143,A,100,4,4,38,39,36,36,"220","NH 295","MTTHF","8:00AM - 8:50AM",9/1/21,12/16/21,Full,"NH","295","8:00 AM","8:00:00","50","8:50 AM","8:50:00","M","T","","TH","F","Probability and Statistics","Pam Plantinga","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-143-B","STAT",143,B,100,4,4,35,36,36,36,"220","NH 295","MTTHF","9:00AM - 9:50AM",9/1/21,12/16/21,Full,"NH","295","9:00 AM","9:00:00","50","9:50 AM","9:50:00","M","T","","TH","F","Probability and Statistics","Pam Plantinga","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-143-B","STAT",143,B,100,4,4,30,0,30,36,"254","NH 295","MTTHF","9:00AM - 9:50AM",2/2/22,5/13/22,Full,"NH","295","9:00 AM","9:00:00","50","9:50 AM","9:50:00","M","T","","TH","F","Probability and Statistics","Pam Plantinga","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-143-A","STAT",143,A,100,4,4,28,0,30,36,"254","NH 295","MTTHF","8:00AM - 8:50AM",2/2/22,5/13/22,Full,"NH","295","8:00 AM","8:00:00","50","8:50 AM","8:50:00","M","T","","TH","F","Probability and Statistics","Pam Plantinga","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-143-C","STAT",143,C,100,4,4,34,36,36,36,"0","NH 295","MTTHF","10:30AM - 11:20AM",9/1/21,12/16/21,Full,"NH","295","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","T","","TH","F","Probability and Statistics","Mathematics Staff","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-143-C","STAT",143,C,100,4,4,36,0,30,36,"0","NH 295","MTTHF","10:30AM - 11:20AM",2/2/22,5/13/22,Full,"NH","295","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","T","","TH","F","Probability and Statistics","Michael Bolt","Active","ONLN","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-143-D","STAT",143,D,100,4,4,31,0,30,36,"1011","NH 295","MTTHF","11:30AM - 12:20PM",2/2/22,5/13/22,Full,"NH","295","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","T","","TH","F","Probability and Statistics","Nathan S Sunukjian","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-143-E","STAT",143,E,100,4,4,27,0,30,36,"1011","NH 295","MTTHF","1:30PM - 2:20PM",2/2/22,5/13/22,Full,"NH","295","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","T","","TH","F","Probability and Statistics","Nathan S Sunukjian","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-143-D","STAT",143,D,100,4,4,37,38,36,36,"0","NH 295","MTWF","11:30AM - 12:20PM",9/1/21,12/16/21,Full,"NH","295","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","T","W","","F","Probability and Statistics","Michael Bolt","Active","LEC","3/2: Moseley -> Bolt
3/2: change days",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-145-A","STAT",145,A,100,4,4,29,0,32,0,"48","NH 276","MWTHF","12:30PM - 1:20PM",2/2/22,5/13/22,Full,"NH","276","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","","W","TH","F","Biostatistics","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-145-A","STAT",145,A,100,4,4,25,31,32,0,"52","NH 259","MTWF","9:00AM - 9:50AM",9/1/21,12/16/21,Full,"NH","259","9:00 AM","9:00:00","50","9:50 AM","9:50:00","M","T","W","","F","Biostatistics","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-241-A","STAT",241,A,200,2,2,21,0,32,0,"32","NH 259","TTH","11:30AM - 12:20PM",2/2/22,5/13/22,Full,"NH","259","11:30 AM","11:30:00","50","12:20 PM","12:20:00","","T","","TH","","Engineering Statistics","Todd Kapitula","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-241-B","STAT",241,B,200,2,2,17,0,32,0,"40","NH 259","TTH","12:30PM - 1:20PM",2/2/22,5/13/22,Full,"NH","259","12:30 PM","12:30:00","50","1:20 PM","13:20:00","","T","","TH","","Engineering Statistics","Todd Kapitula","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-245-A","STAT",245,A,200,4,4,34,36,32,32,"0","NH 276","MTTHF","12:30PM - 1:20PM",9/1/21,12/16/21,Full,"NH","276","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","T","","TH","F","Applied Data Analysis","Stacy De Ruiter","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-245-B","STAT",245,B,200,4,4,34,36,32,32,"0","NH 276","MTTHF","2:30PM - 3:20PM",9/1/21,12/16/21,Full,"NH","276","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","","TH","F","Applied Data Analysis","Stacy De Ruiter","Active","LEC","4/17: add second section","2021-04-17T11:09:06-04:00"
"Mathematics and Statistics",21/FA,9/1/21,2021,"STAT-343-A","STAT",343,A,300,4,4,23,24,30,0,"40","NH 261","MTTHF","1:30PM - 2:20PM",9/1/21,12/16/21,Full,"NH","261","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","T","","TH","F","Probability & Statistics","Randall Pruim","Active","LEC","",""
"Mathematics and Statistics",21/FA,,2021,"MATH-385-A","MATH",385,A,300,3,3,12,0,32,35,"32","NH 261","MWF","10:30AM - 11:20AM",,,A,"NH","261","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","","W","","F","Topics in Mathematics","Christopher Moseley","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-301-A","MATH",301,A,300,4,4,21,0,25,0,"96","NH 259","MTWF","2:30PM - 3:20PM",2/2/22,5/13/22,Full,"NH","259","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","W","","F","Geometry","James Turner","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-344-A","STAT",344,A,300,4,4,31,0,30,30,"182","NH 276","MTTHF","1:30PM - 2:20PM",2/2/22,5/13/22,Full,"NH","276","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","T","","TH","F","Mathematical Statistics","Stacy De Ruiter","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-331-A","MATH",331,A,300,4,4,22,26,30,0,"0","NH 261","MTWF","11:30AM - 12:20PM",9/1/21,12/16/21,Full,"NH","261","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","T","W","","F","Nonlinear Dynamics and Chaos","Todd Kapitula","Active","LEC","3/8: 9:00 -> 11:30 to avoid schedule conflicts for 3 students

",""
"Mathematics and Statistics",SP,,0,"DATA-303-A","DATA",303,A,300,3,3,0,0,0,0,"30","NH 276","MWF","2:30PM - 3:20PM",,,A,"NH","276","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","","W","","F","","Randall Pruim","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-071-A","MATH",071,A,000,1,1,12,20,24,24,"40","NH 259","TTH","12:30PM - 1:20PM",9/1/21,12/16/21,Full,"NH","259","12:30 PM","12:30:00","50","1:20 PM","13:20:00","","T","","TH","","Calculus I Supplemental Inst","Mathematics Staff","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-072-A","MATH",072,A,000,1,1,4,0,24,24,"44","NH 276","TTH","2:30PM - 3:20PM",2/2/22,5/13/22,Full,"NH","276","2:30 PM","14:30:00","50","3:20 PM","15:20:00","","T","","TH","","Calculus I Supplemental Inst","Todd Kapitula","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"CORE-101-?","CORE",101,?,100,3,3,30,32,30,30,"0","NH 295","MWF","12:30PM - 1:20PM",9/1/21,12/16/21,Full,"NH","295","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","","W","","F","Community & Commitments","Nathan S Sunukjian","Active","LEC","3/2: pick room
",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"CORE-101-?","CORE",101,?,100,3,3,30,32,30,30,"0","NH 276","MWF","1:30PM - 2:20PM",9/1/21,12/16/21,Full,"NH","276","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","","W","","F","Community & Commitments","Stacy De Ruiter","Active","LEC","3/2: change time; find room",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-365-A","MATH",365,A,300,4,4,12,0,32,35,"32","NH 259","MTWF","8:00AM - 8:50AM",2/2/22,5/13/22,Full,"NH","259","8:00 AM","8:00:00","50","8:50 AM","8:50:00","M","T","W","","F","Complex Variables","Michael Bolt","Active","LEC","",""
"",21/FA,,2021,"--","",,,,0,3,0,0,0,0,"","","","",,,A,"","","","","","","","","","","","","","Dr. David B. Klanderman","","GDFI Release","",""
"",21/FA,,2021,"--","",,,,0,3,0,0,0,0,"","","","",,,A,"","","","","","","","","","","","","","Todd Kapitula","","Kuipers CRF","",""
"","SP",,,"--","",,,,,3,,,,,"","","","",,,,"","","","","","","","","","","","","","Stacy De Ruiter","","Core Fellow","","2021-04-17T11:09:48-04:00"
"","SP",,,"--","",,,,,3,,,,,"","","","",,,,"","","","","","","","","","","","","","Stacy De Ruiter","","MPH Teaching","","2021-04-17T11:10:24-04:00"
"","SP",,,"--","",,,,,3,,,,,"","","","",,,,"","","","","","","","","","","","","","Stacy De Ruiter","","Grant","","2021-04-17T11:10:49-04:00"
"",FA,,0,"EDUC-346-C","EDUC",346,C,300,3,0,0,0,0,0,"0","OFFCAMP","W","8:00PM - 8:50PM",,,A,"OFFCAMP","","8:00 PM","20:00:00","50","8:50 PM","20:50:00","","","W","","","","Dr. David B. Klanderman","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"STAT-243-A","STAT",243,A,200,4,4,28,0,28,32,"0","NH 276","MTTHF","10:30AM - 11:20AM",2/2/22,5/13/22,Full,"NH","276","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","T","","TH","F","Statistics","Staff","Active","LEC","moved from 11:30 to 10:30 to use rooms better; 4/17 freeing up sld for a second 245 in Fall
","2021-04-17T11:05:45-04:00"
