Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-355-A,MATH,355,A,300,4.00,4.00,24,,25,,20,NH 261,MTWF,11:30AM - 12:20PM,1/10/2022,4/28/2022,NH,261,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Adv Linear Algebra,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-359-A,MATH,359,A,300,3.00,0.50,1,1,30,,32,NH 251,TH,6:00PM - 8:30PM,8/30/2022,12/15/2022,NH,251,6:00PM,18:00:00,8:30PM,20:30:00,,,,TH,,Sem: Sec Teaching of Math,Dr. David B. Klanderman,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-361-A,MATH,361,A,300,4.00,4.00,18,20,25,,45,NH 295,MTWF,12:30PM - 1:20PM,8/30/2022,12/15/2022,NH,295,12:30PM,12:30:00,1:20PM,13:20:00,M,T,W,,F,Real Analysis I,John Ferdinands,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-362-A,MATH,362,A,300,4.00,4.00,1,,,,0,,,,1/10/2022,4/30/2022,,,,,,,,,,,,Real Analysis II,John Ferdinands,Active,TUT
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-365-A,MATH,365,A,300,4.00,4.00,9,,20,,32,NH 259,MTWF,8:00AM - 8:50AM,1/10/2022,4/28/2022,NH,259,8:00AM,08:00:00,8:50AM,08:50:00,M,T,W,,F,Complex Variables,Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-385-A,MATH,385,A,300,3.00,3.00,9,9,25,25,20,NH 261,MWF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,261,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Topics in Mathematics,Christopher Moseley,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-390-A,MATH,390,A,300,2.00,0.00,1,,1,,0,,,,1/10/2022,4/30/2022,,,,,,,,,,,,Topics in Real Analysis,John Ferdinands,Active,IND
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-390-A,MATH,390,A,300,2.00,,1,,1,,0,,,,8/30/2022,12/18/2022,,,,,,,,,,,,Topology of the real live,,Active,IND
Mathematics and Statistics,22/SP,1/10/2022,2022,MATH-391-A,MATH,391,A,300,0.00,1.00,14,,47,,44,NH 276,TH,3:40PM - 4:30PM,1/10/2022,4/28/2022,NH,276,3:40PM,15:40:00,4:30PM,16:30:00,,,,TH,,Colloquium,Dr. David B. Klanderman,Active,SEM
Mathematics and Statistics,21/FA,8/30/2022,2022,MATH-391-A,MATH,391,A,300,0.00,1.00,14,14,47,,44,NH 276,TH,3:40PM - 4:30PM,8/30/2022,12/15/2022,NH,276,3:40PM,15:40:00,4:30PM,16:30:00,,,,TH,,Colloquium,Christopher Moseley,Active,SEM
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-143-A,STAT,143,A,100,4.00,4.00,35,37,36,36,45,NH 295,MTTHF,8:00AM - 8:50AM,8/30/2022,12/15/2022,NH,295,8:00AM,08:00:00,8:50AM,08:50:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-143-A,STAT,143,A,100,4.00,4.00,36,,30,36,45,NH 295,MTTHF,8:00AM - 8:50AM,1/10/2022,4/28/2022,NH,295,8:00AM,08:00:00,8:50AM,08:50:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-143-B,STAT,143,B,100,4.00,4.00,35,36,36,36,45,NH 295,MTTHF,9:00AM - 9:50AM,8/30/2022,12/15/2022,NH,295,9:00AM,09:00:00,9:50AM,09:50:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-143-B,STAT,143,B,100,4.00,4.00,34,,30,36,45,NH 295,MTTHF,9:00AM - 9:50AM,1/10/2022,4/28/2022,NH,295,9:00AM,09:00:00,9:50AM,09:50:00,M,T,,TH,F,Probability and Statistics,Pam Plantinga,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-143-C,STAT,143,C,100,4.00,4.00,35,36,36,36,45,NH 295,MTTHF,10:30AM - 11:20AM,8/30/2022,12/15/2022,NH,295,10:30AM,10:30:00,11:20AM,11:20:00,M,T,,TH,F,Probability and Statistics,Thomas Jager,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-143-C,STAT,143,C,100,4.00,4.00,36,,30,36,45,NH 295,MTTHF,10:30AM - 11:20AM,1/10/2022,4/28/2022,NH,295,10:30AM,10:30:00,11:20AM,11:20:00,M,T,,TH,F,Probability and Statistics,Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2022,2022,STAT-143-D,STAT,143,D,100,4.00,4.00,34,36,36,36,45,NH 295,MTWF,11:30AM - 12:20PM,8/30/2022,12/15/2022,NH,295,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Probability and Statistics,Michael Bolt,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-143-D,STAT,143,D,100,4.00,4.00,18,,30,36,45,NH 295,MTTHF,11:30AM - 12:20PM,1/10/2022,4/28/2022,NH,295,11:30AM,11:30:00,12:20PM,12:20:00,M,T,,TH,F,Probability and Statistics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2022,STAT-143-E,STAT,143,E,100,4.00,4.00,25,,30,36,45,NH 295,MTTHF,1:30PM - 2:20PM,1/10/2022,4/28/2022,NH,295,1:30PM,13:30:00,2:20PM,14:20:00,M,T,,TH,F,Probability and Statistics,Nathan S Sunukjian,Active,LEC
